"","V1","V2","V3","V4","V5"
"1",1,0,0,0,0
"2",2,0,0,0,0
"3",1,1,0,0,0
"4",1,1,1,0,0
"5",1,0,0,1,0
"6",1,0,0,2,0
"7",1,0,0,1,1
"8",1,0,0,1,2
"9",2,1,0,0,0
"10",2,2,0,0,0
"11",2,1,1,0,0
"12",2,1,2,0,0
"13",2,0,0,1,0
"14",2,0,0,2,0
"15",2,0,0,1,1
"16",2,0,0,1,2
"17",1,1,0,1,0
"18",1,1,0,2,0
"19",1,1,0,1,1
"20",1,1,0,1,2
"21",2,1,0,1,0
"22",2,1,0,2,0
"23",2,1,0,1,1
"24",2,1,0,1,2
"25",2,2,1,0,0
"26",2,2,2,0,0
"27",2,2,0,1,0
"28",2,2,0,2,0
"29",2,2,0,1,1
"30",2,2,0,1,2
"31",1,1,1,1,0
"32",1,1,1,2,0
"33",1,1,1,1,1
"34",1,1,1,1,2
"35",2,1,1,1,0
"36",2,1,1,2,0
"37",2,1,1,1,1
"38",2,1,1,1,2
"39",2,2,1,1,0
"40",2,2,1,2,0
"41",2,2,1,1,1
"42",2,2,1,1,2
"43",2,1,2,1,0
"44",2,1,2,2,0
"45",2,1,2,1,1
"46",2,1,2,1,2
"47",2,2,2,1,0
"48",2,2,2,2,0
"49",2,2,2,1,1
"50",2,2,2,1,2
"51",1,0,0,2,1
"52",1,0,0,2,2
"53",2,0,0,2,1
"54",2,0,0,2,2
"55",1,1,0,2,1
"56",1,1,0,2,2
"57",2,1,0,2,1
"58",2,1,0,2,2
"59",2,2,0,2,1
"60",2,2,0,2,2
"61",1,1,1,2,1
"62",1,1,1,2,2
"63",2,1,1,2,1
"64",2,1,1,2,2
"65",2,2,1,2,1
"66",2,2,1,2,2
"67",2,1,2,2,1
"68",2,1,2,2,2
"69",2,2,2,2,1
"70",2,2,2,2,2
